date,Volume,Open,Close,High,Low,symbol
2022-10-05,2482000000.0,3753.25,3783.29,3806.91,3722.66,^SPX
2022-10-06,2466000000.0,3771.97,3744.53,3797.93,3739.22,^SPX
2022-10-07,2689000000.0,3706.74,3639.67,3706.74,3620.73,^SPX
2022-10-10,2355000000.0,3647.51,3612.4,3652.17,3588.1,^SPX
2022-10-11,2684000000.0,3595.86,3588.83,3640.66,3568.45,^SPX
2022-10-12,2355000000.0,3590.83,3577.04,3608.34,3573.86,^SPX
2022-10-13,3176000000.0,3520.37,3669.89,3685.41,3491.58,^SPX
2022-10-14,2645000000.0,3690.41,3583.08,3712.0,3579.68,^SPX
2022-10-17,2532000000.0,3638.65,3677.94,3689.73,3638.65,^SPX
2022-10-18,2625000000.0,3746.26,3719.97,3762.79,3686.53,^SPX
2022-10-19,2359000000.0,3703.11,3695.15,3728.58,3666.51,^SPX
2022-10-20,2617000000.0,3689.05,3665.77,3736.0,3656.44,^SPX
2022-10-21,2948000000.0,3657.1,3752.76,3757.89,3647.42,^SPX
2022-10-24,2534000000.0,3762.01,3797.35,3810.74,3741.65,^SPX
2022-10-25,2645000000.0,3799.44,3859.1,3862.85,3799.44,^SPX
2022-10-26,2863000000.0,3825.97,3830.59,3886.15,3824.07,^SPX
2022-10-27,2973000000.0,3834.69,3807.29,3859.95,3803.79,^SPX
2022-10-28,2876000000.0,3808.26,3901.07,3905.42,3808.26,^SPX
2022-10-31,2758000000.0,3881.85,3871.97,3893.73,3863.18,^SPX
2022-11-01,2574000000.0,3901.79,3856.11,3911.79,3843.8,^SPX
